v_sku,v_name,v_description,v_image,v_url,v_parent_sku,v_date_added,v_status,v_sort_order,v_meta_title,v_meta_keywords,v_meta_description,,,,
jewellery,jewellery,,,,,,1,1,jewellery,jewellery,jewellery
shoe,shoe,,,,,,1,2,shoe,shoe,shoe
garment,garment,,,,,,1,3,garment,garment,garment
packet,packet,,,,,,1,4,packet,packet,packet
Rings,Rings,,,,jewellery,,1,5,Rings,Rings,Rings
Wallets,Wallets,,,,packet,,1,6,Wallets,Wallets,Wallets
Earrings,Earrings,,,,jewellery,,1,7,Earrings,Earrings,Earrings
Heels,Heels,,,,shoe,,1,8,Heels,Heels,Heels
Dresses,Dresses,,,,garment,,1,9,Dresses,Dresses,Dresses
Tank Tops & Cam's,Tank Tops & Cam's,,,,garment,,1,10,Tank Tops & Cam's,Tank Tops & Cam's,Tank Tops & Cam's
Sneakers & Athletic,Sneakers & Athletic,,,,shoe,,1,11,Sneakers & Athletic,Sneakers & Athletic,Sneakers & Athletic
Skirts,Skirts,,,,garment,,1,12,Skirts,Skirts,Skirts
Shorts,Shorts,,,,garment,,1,13,Shorts,Shorts,Shorts
