v_sku,v_name,v_description,v_image,v_url,v_parent_sku,v_date_added,v_status,v_sort_order,v_meta_title,v_meta_keywords,v_meta_description,,,,
shoes,shoes,,,,,,1,1,shoes,shoes,shoes
Backpack,Backpack,,,,,,1,2,Backpack,Backpack,Backpack
costuming,costuming,,,,,,1,3,costuming,costuming,costuming
jewelry,jewelry,,,,,,1,4,jewelry,jewelry,jewelry
Flats,Flats,,,,shoes,,1,5,Flats,Flats,Flats
T-Shirts,T-Shirts,,,,costuming,,1,6,T-Shirts,T-Shirts,T-Shirts
Bracelets,Bracelets,,,,jewelry,,1,7,Bracelets,Bracelets,Bracelets
Heels,Heels,,,,shoes,,1,8,Heels,Heels,Heels
Dresses,Dresses,,,,costuming,,1,9,Dresses,Dresses,Dresses
Women Tops,Women Tops,,,,costuming,,1,10,Women Tops,Women Tops,Women Tops
Earrings,Earrings,,,,jewelry,,1,11,Earrings,Earrings,Earrings
Backpack,Backpack,,,,Backpack,,1,12,Backpack,Backpack,Backpack
Shorts,Shorts,,,,costuming,,1,13,Shorts,Shorts,Shorts
