v_sku,v_name,v_description,v_image,v_url,v_parent_sku,v_date_added,v_status,v_sort_order,v_meta_title,v_meta_keywords,v_meta_description,,,,
attire,attire,,,,,,1,1,attire,attire,attire
Backpack,Backpack,,,,,,1,2,Backpack,Backpack,Backpack
jewelry,jewelry,,,,,,1,3,jewelry,jewelry,jewelry
shoe,shoe,,,,,,1,4,shoe,shoe,shoe
Bracelets,Bracelets,,,,jewelry,,1,5,Bracelets,Bracelets,Bracelets
Backpack,Backpack,,,,Backpack,,1,6,Backpack,Backpack,Backpack
Denim Shorts,Denim Shorts,,,,attire,,1,7,Denim Shorts,Denim Shorts,Denim Shorts
Slippers,Slippers,,,,shoe,,1,8,Slippers,Slippers,Slippers
T-Shirts,T-Shirts,,,,attire,,1,9,T-Shirts,T-Shirts,T-Shirts
Dresses,Dresses,,,,attire,,1,10,Dresses,Dresses,Dresses
Flats,Flats,,,,shoe,,1,11,Flats,Flats,Flats
Blouses,Blouses,,,,attire,,1,12,Blouses,Blouses,Blouses
Pendant Necklaces,Pendant Necklaces,,,,jewelry,,1,13,Pendant Necklaces,Pendant Necklaces,Pendant Necklaces
