v_sku,v_name,v_description,v_image,v_url,v_parent_sku,v_date_added,v_status,v_sort_order,v_meta_title,v_meta_keywords,v_meta_description,,,,
garment,garment,,,,,,1,1,garment,garment,garment
shoe,shoe,,,,,,1,2,shoe,shoe,shoe
jewellery,jewellery,,,,,,1,3,jewellery,jewellery,jewellery
Handbags,Handbags,,,,,,1,4,Handbags,Handbags,Handbags
Sandals,Sandals,,,,shoe,,1,5,Sandals,Sandals,Sandals
Tank Tops & Cam's,Tank Tops & Cam's,,,,garment,,1,6,Tank Tops & Cam's,Tank Tops & Cam's,Tank Tops & Cam's
Rings,Rings,,,,jewellery,,1,7,Rings,Rings,Rings
Shorts,Shorts,,,,garment,,1,8,Shorts,Shorts,Shorts
Women Tops,Women Tops,,,,garment,,1,9,Women Tops,Women Tops,Women Tops
Handbags,Handbags,,,,Handbags,,1,10,Handbags,Handbags,Handbags
Bracelets,Bracelets,,,,jewellery,,1,11,Bracelets,Bracelets,Bracelets
Skirts,Skirts,,,,garment,,1,12,Skirts,Skirts,Skirts
Flats,Flats,,,,shoe,,1,13,Flats,Flats,Flats
