v_sku,v_name,v_description,v_image,v_url,v_parent_sku,v_date_added,v_status,v_sort_order,v_meta_title,v_meta_keywords,v_meta_description,,,,
shoes,shoes,,,,,,1,1,shoes,shoes,shoes
Handbags,Handbags,,,,,,1,2,Handbags,Handbags,Handbags
clothes,clothes,,,,,,1,3,clothes,clothes,clothes
jewelry,jewelry,,,,,,1,4,jewelry,jewelry,jewelry
Flats,Flats,,,,shoes,,1,5,Flats,Flats,Flats
Skirts,Skirts,,,,clothes,,1,6,Skirts,Skirts,Skirts
Bracelets,Bracelets,,,,jewelry,,1,7,Bracelets,Bracelets,Bracelets
Dresses,Dresses,,,,clothes,,1,8,Dresses,Dresses,Dresses
Shorts,Shorts,,,,clothes,,1,9,Shorts,Shorts,Shorts
Denim Shorts,Denim Shorts,,,,clothes,,1,10,Denim Shorts,Denim Shorts,Denim Shorts
Heels,Heels,,,,shoes,,1,11,Heels,Heels,Heels
Rings,Rings,,,,jewelry,,1,12,Rings,Rings,Rings
Handbags,Handbags,,,,Handbags,,1,13,Handbags,Handbags,Handbags
