v_sku,v_name,v_description,v_image,v_url,v_parent_sku,v_date_added,v_status,v_sort_order,v_meta_title,v_meta_keywords,v_meta_description,,,,
Wallets,Wallets,,,,,,1,1,Wallets,Wallets,Wallets
jewellery,jewellery,,,,,,1,2,jewellery,jewellery,jewellery
clothing,clothing,,,,,,1,3,clothing,clothing,clothing
shoes,shoes,,,,,,1,4,shoes,shoes,shoes
Rings,Rings,,,,jewellery,,1,5,Rings,Rings,Rings
Wallets,Wallets,,,,Wallets,,1,6,Wallets,Wallets,Wallets
Sandals,Sandals,,,,shoes,,1,7,Sandals,Sandals,Sandals
Tank Tops & Cam's,Tank Tops & Cam's,,,,clothing,,1,8,Tank Tops & Cam's,Tank Tops & Cam's,Tank Tops & Cam's
Blouses,Blouses,,,,clothing,,1,9,Blouses,Blouses,Blouses
T-Shirts,T-Shirts,,,,clothing,,1,10,T-Shirts,T-Shirts,T-Shirts
Flats,Flats,,,,shoes,,1,11,Flats,Flats,Flats
Women Tops,Women Tops,,,,clothing,,1,12,Women Tops,Women Tops,Women Tops
Bracelets,Bracelets,,,,jewellery,,1,13,Bracelets,Bracelets,Bracelets
